,jop_title,company_name,location,type,links
47,Data Center Engineer,Smart System -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/XNFKjzvSaYIN-Data-Center-Engineer-Smart-System-Cairo-Egypt?o=48&l=sp&t=sj&a=data%20science|search-v3|hpb
48,Business Analyst,Cilantro -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/8YOY92FomUao-Business-Analyst-Cilantro-Cairo-Egypt?o=49&l=sp&t=sj&a=data%20science|search-v3|hpb
49,Java Team Lead,Ejada (Cairo) -,"Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/fBOHU9BwWhJG-Java-Team-Lead-Ejada-Cairo-Cairo-Egypt?o=50&l=sp&t=sj&a=data%20science|search-v3|hpb
50,Big Data Engineer,Worex -,"Riyadh, Saudi Arabia ",Full Time,https://wuzzuf.net/jobs/p/8mpWfbTOXUdy-Big-Data-Engineer-Worex-Riyadh-Saudi-Arabia?o=51&l=sp&t=sj&a=data%20science|search-v3|hpb
51,Development Team Leader,egabi solutions -,"Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/VLWdhbaQDPJ0-Development-Team-Leader-egabi-solutions-Cairo-Egypt?o=52&l=sp&t=sj&a=data%20science|search-v3|hpb
52,Business Data Administrator (KSA),Confidential -,"Riyadh, Saudi Arabia ",Full Time,https://wuzzuf.net/jobs/p/twClZ8jLx53y-Business-Data-Administrator-KSA-Riyadh-Saudi-Arabia?o=53&l=sp&t=sj&a=data%20science|search-v3|hpb
53,Data Analyst,Unimix Egypt for Readymix concrete -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/dIieJT5piZvq-Data-Analyst-Unimix-Egypt-for-Readymix-concrete-Cairo-Egypt?o=54&l=sp&t=sj&a=data%20science|search-v3|hpb
54,Processing Officer (Science Graduates),NEXtCARE -,"New Cairo, Cairo, Egypt ",Full TimeShift Based,https://wuzzuf.net/jobs/p/xUbexBC8BiNW-Processing-Officer-Science-Graduates-NEXtCARE-Cairo-Egypt?o=55&l=sp&t=sj&a=data%20science|search-v3|hpb
55,Data Analyst,Olam SVI -,"6th of October, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/SqZCjDBkUe22-Data-Analyst-Olam-SVI-Giza-Egypt?o=56&l=sp&t=sj&a=data%20science|search-v3|hpb
56,Business Data Analyst,Fawry Plus -,"Smart Village, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/R8iqlBsI38Af-Business-Data-Analyst-Fawry-Plus-Giza-Egypt?o=57&l=sp&t=sj&a=data%20science|search-v3|hpb
57,Senior R&D Analyst- Banha,Z2 Data -,"Banha, Qalubia, Egypt ",Full Time,https://wuzzuf.net/jobs/p/QULmM8c1vDma-Senior-RD-Analyst--Banha-Z2-Data-Qalubia-Egypt?o=58&l=sp&t=sj&a=data%20science|search-v3|hpb
58,BI Developer,Perfect Presentation -,"6th of October, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/NBf7TPtxIAoD-BI-Developer-Perfect-Presentation-Giza-Egypt?o=59&l=sp&t=sj&a=data%20science|search-v3|hpb
