,Model,Year,Show_Room,Mileage,Specs,Price
73,Toyota Hilux 2.7 SR5,2022,Mawater City,0 KM,   Automatic   White   2.70 Lt.   4 Cylinder   Naturally Aspirated   Red,"30,028 USD"
74,Dodge Ram 1500 Limited,2019,Mawater City,"108,000 KM",   Automatic   White   5.70 Lt.   8 Cylinder   Naturally Aspirated   Beige,"17,080 USD"
75,Geely Coolray 1.5 Sport,2022,Crazy Signal,0 KM,   Automatic   White   1.50 Lt.   3 Cylinder   TurboCharged   Red,"17,080 USD"
76,Infiniti QX50,2015,Crazy Signal,"70,000 KM",   Automatic   White   3.70 Lt.   6 Cylinder   Naturally Aspirated   Maroon,"33,885 USD"
77,Ford F150 XLT Ecoboost,2019,Mawater City,"27,000 KM",   Automatic   Maroon   3.50 Lt.   6 Cylinder   TurboCharged   Beige,"54,821 USD"
78,Ford Raptor,2020,Mawater City,"24,000 KM",   Automatic   Gray   3.50 Lt.   6 Cylinder   TurboCharged   Black & Blue,"52,067 USD"
79,Dodge Ram 1500 Limited,2021,Mawater City,"8,500 KM",   Automatic   White   5.70 Lt.   8 Cylinder   Naturally Aspirated   Beige,"18,182 USD"
80,Mercedes Benz GLE400,2016,Mawater City,"74,000 KM",   Automatic   Blue   3.00 Lt.   6 Cylinder   TurboCharged   Beige,"17,356 USD"
81,Fiat  Abarth 595 Scorpioneoro,2022,Mawater City,"5,000 KM",   Automatic   Black   1.40 Lt.   4 Cylinder   TurboCharged   Brown,"74,105 USD"
82,Toyota Yaris GR Track Edition,2022,Mawater City,0 KM,   Manual   White   1.60 Lt.   3 Cylinder   TurboCharged   Black,"60,331 USD"
83,Range Rover Sport HSE Dynamic,2021,Mawater City,"46,000 KM",   Automatic   Silver   3.00 Lt.   6 Cylinder   Supercharged   Red,"49,312 USD"
84,BMW X5 M XDrive 40i,2020,Crazy Signal,"54,000 KM",   Automatic   Blue   3.00 Lt.   6 Cylinder   Supercharged   Beige,"74,105 USD"
85,Nissan Patrol Platinum,2021,Mawater City,"12,000 KM",   Automatic   Gray   5.60 Lt.   8 Cylinder   Naturally Aspirated   Brown,"23,692 USD"
86,Jeep Wrangler Rubicon X,2021,Mawater City,"37,000 KM",   Automatic   Gray   3.60 Lt.   6 Cylinder   Naturally Aspirated   Black,"49,312 USD"
87,Chevrolet Camaro SS,2021,Mawater City,"16,000 KM",   Automatic   Red   6.20 Lt.   8 Cylinder   Naturally Aspirated   Red,"52,067 USD"
88,BMW M8 Competition,2020,Mawater City,"3,600 KM",   Automatic   Blue   4.40 Lt.   8 Cylinder   TurboCharged   Red,"22,039 USD"
89,Ford Bronco Badlands,2021,Sana Signal,300 KM,   Automatic   grey   2.30 Lt.   4 Cylinder   TurboCharged   black,"27,273 USD"
90,Dodge Charger SRT Scat Pack,2019,Crazy Signal,"48,000 KM",   Automatic   White   6.40 Lt.   8 Cylinder   Naturally Aspirated   Black,"53,995 USD"
91,Jeep Gladiator Golden Hawk Edition,2021,Sana Signal,200 KM,   Automatic   white   3.60 Lt.   6 Cylinder   Naturally Aspirated   black,"90,910 USD"
92,Chevrolet Silverado LT ZL1,2017,Mawater City,"108,000 KM",   Automatic   White   5.30 Lt.   8 Cylinder   Naturally Aspirated   Beige,"27,273 USD"
93,Dodge Ram 1500 Limited,2021,Mawater City,"8,000 KM",   Automatic   White   5.70 Lt.   8 Cylinder   Naturally Aspirated   Beige,"85,124 USD"
94,Volkswagen Touareg,2015,Mawater City,"49,000 KM",   Automatic   White   3.00 Lt.   6 Cylinder   TurboCharged   Beige,"53,995 USD"
95,Ford Mustang GT Convertible,2015,Sana Signal,"75,000 KM",   Automatic   orange   5.00 Lt.   8 Cylinder   Naturally Aspirated   black,"109,918 USD"
96,Ford Explorer AWD,2016,Crazy Signal,"87,000 KM",   Automatic   silver   3.60 Lt.   6 Cylinder   Naturally Aspirated   beige,"40,162 USD"
97,Ford Explorer 4WD,2016,Mawater City,"90,000 KM",   Automatic   Silver   3.50 Lt.   6 Cylinder   Naturally Aspirated   Beige,"112,939 USD"
98,GMC Sierra 2500HD,2019,Mawater City,"88,000 KM",   Automatic   White   6.20 Lt.   8 Cylinder   Naturally Aspirated   Gray,"18,868 USD"
99,Ford Ranger Raptor,2022,Mawater City,0 KM,   Automatic   Gray   2.00 Lt.   4 Cylinder   TurboCharged   Black,"23,990 USD"
100,Toyota Tacoma TRD,2021,Mawater City,0 KM,   Automatic   Blue   3.50 Lt.   6 Cylinder   Naturally Aspirated   Black,"49,312 USD"
101,Nissan Navara SE,2020,Crazy Signal,"38,000 KM",   Automatic   White   2.50 Lt.   4 Cylinder   Naturally Aspirated   Red,"27,273 USD"
102,Lincoln MKC Ecoboost AWD,2016,Mawater City,"64,000 KM",   Automatic   Black   2.30 Lt.   4 Cylinder   TurboCharged   Beige,"21,213 USD"
103,Ford Explorer XLT,2016,West Bay,"68,045 KM",   Automatic   White   3.50 Lt.   6 Cylinder   Naturally Aspirated   Beige,"68,596 USD"
